"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"1","sGARCH","norm","1,1","0,0",0.00046192983080906,"2.22044604925031e-16","-2.83954309885912"
"2","sGARCH","norm","1,1","0,1",0.0291495310687631,"1.11022302462516e-16","-2.84684506406818"
"3","sGARCH","norm","1,1","0,2",7.0221998849096e-06,"0","-2.85017217240817"
"4","sGARCH","norm","1,1","0,3",5.18580844932615e-10,"0","-2.84874680774645"
"5","sGARCH","norm","1,1","0,4",2.26263452418607e-13,"0","-2.84641968185039"
"6","sGARCH","norm","1,1","0,5",1.65423230669148e-14,"0","-2.84424071324722"
"7","sGARCH","norm","1,1","1,0",0.0573189310623911,"1.11022302462516e-16","-2.84466127310043"
"8","sGARCH","norm","1,1","1,1",1.69431135788045e-12,"0","-2.85397080026095"
"9","sGARCH","norm","1,1","1,2",3.64375196681976e-13,"0","-2.85075175864455"
"10","sGARCH","norm","1,1","1,3",1.2534417948018e-13,"0","-2.84744018022621"
"11","sGARCH","norm","1,1","1,4",1.37667655053519e-14,"0","-2.84412047472483"
"12","sGARCH","norm","1,1","1,5",3.66373598126302e-15,"0","-2.84121081209395"
"13","sGARCH","norm","1,1","2,0",0.0270562285274376,"1.11022302462516e-16","-2.8474434488441"
"14","sGARCH","norm","1,1","2,1",3.67927910360777e-13,"0","-2.85074740213699"
"15","sGARCH","norm","1,1","2,2",1.20681242776755e-13,"0","-2.84807480224736"
"16","sGARCH","norm","1,1","2,3",2.85305591285478e-06,"0","-2.84661415968743"
"17","sGARCH","norm","1,1","2,4",5.6621374255883e-15,"0","-2.84160515182297"
"18","sGARCH","norm","1,1","2,5",1.11022302462516e-16,"0","-2.83852077632997"
"19","sGARCH","norm","1,1","3,0",0.000473057548259326,"0","-2.84595962485918"
"20","sGARCH","norm","1,1","3,1",1.42663658664333e-13,"0","-2.84749539560247"
"21","sGARCH","norm","1,1","3,2",0,"0","-2.84565943687353"
"22","sGARCH","norm","1,1","3,3",1.0769163338864e-14,"0","-2.84353550113342"
"23","sGARCH","norm","1,1","3,4",2.60902410786912e-14,"0","-2.84304142946434"
"24","sGARCH","norm","1,1","4,0",2.97789122916114e-07,"0","-2.84373786064755"
"25","sGARCH","norm","1,1","4,1",7.74674851928836e-05,"0","-2.84193211736216"
"26","sGARCH","norm","1,1","4,2",3.08236383975702e-05,"0","-2.84652542805633"
"27","sGARCH","norm","1,1","4,3",1.99840144432528e-15,"0","-2.84022205177863"
"28","sGARCH","norm","1,1","5,0",3.04268910067407e-09,"0","-2.84206874226548"
"29","sGARCH","norm","1,1","5,1",7.7715611723761e-16,"0","-2.84128028580724"
"30","sGARCH","norm","1,1","5,2",0,"0","-2.83891230758954"
"31","sGARCH","std","1,1","0,0",0.00046192983080906,"4.44089209850063e-16","-3.08634910516365"
"32","sGARCH","std","1,1","0,1",0.000295666945992479,"0","-3.1124296854213"
"33","sGARCH","std","1,1","0,2",0.000101539572071818,"0","-3.11362689002491"
"34","sGARCH","std","1,1","0,3",6.30074495852062e-05,"0","-3.11058435015069"
"35","sGARCH","std","1,1","0,4",1.5737400284932e-05,"0","-3.10717203473004"
"36","sGARCH","std","1,1","0,5",5.51773925272503e-06,"0","-3.10461483213472"
"37","sGARCH","std","1,1","1,0",0.00305886960927415,"1.11022302462516e-16","-3.10713639571451"
"38","sGARCH","std","1,1","1,1",5.5242892717855e-05,"0","-3.11257205048367"
"39","sGARCH","std","1,1","1,2",4.55082769587056e-05,"0","-3.11058333595964"
"40","sGARCH","std","1,1","1,3",2.01206973963197e-05,"0","-3.10725498469903"
"41","sGARCH","std","1,1","1,4",1.63923744349592e-05,"0","-3.10497561652382"
"42","sGARCH","std","1,1","1,5",4.59746934189376e-07,"0","-3.10192836492568"
"43","sGARCH","std","1,1","2,0",0.000344115180885285,"0","-3.1139298195711"
"44","sGARCH","std","1,1","2,1",9.44264893018021e-05,"0","-3.11067191811832"
"45","sGARCH","std","1,1","2,2",3.24866518121025e-05,"0","-3.10733920626925"
"46","sGARCH","std","1,1","2,3",4.78444910234632e-06,"0","-3.10720480816918"
"47","sGARCH","std","1,1","2,4",6.90770632805204e-07,"0","-3.10514372041695"
"48","sGARCH","std","1,1","2,5",4.1807566186769e-07,"0","-3.09854471227797"
"49","sGARCH","std","1,1","3,0",0.000114393021889092,"0","-3.11041504703236"
"50","sGARCH","std","1,1","3,1",8.63276641308586e-05,"0","-3.10824602969416"
"51","sGARCH","std","1,1","3,2",1.16025310192835e-06,"0","-3.10494466535742"
"52","sGARCH","std","1,1","3,3",5.0066918255709e-07,"0","-3.1029159418025"
"53","sGARCH","std","1,1","3,4",2.03360242090334e-07,"0","-3.09984356259936"
"54","sGARCH","std","1,1","4,0",5.22556214219705e-05,"0","-3.10673378647944"
"55","sGARCH","std","1,1","4,1",1.46536575429401e-06,"0","-3.10390436935287"
"56","sGARCH","std","1,1","4,2",1.55018194536449e-06,"0","-3.101856345869"
"57","sGARCH","std","1,1","4,3",9.86433286165322e-08,"0","-3.0977120937432"
"58","sGARCH","std","1,1","5,0",1.7919177641712e-05,"0","-3.10363635871639"
"59","sGARCH","std","1,1","5,1",7.58017979274328e-07,"0","-3.10133066354471"
"60","sGARCH","std","1,1","5,2",5.71715447206245e-08,"0","-3.10109974396411"
"61","eGARCH","norm","1,1","0,0",0.00046192983080906,"1.11022302462516e-16","-2.8334331809739"
"62","eGARCH","norm","1,1","0,1",0.017875052585706,"1.11022302462516e-16","-2.84452874801827"
"63","eGARCH","norm","1,1","0,2",0.00342290238376097,"0","-2.84399003898091"
"64","eGARCH","norm","1,1","0,3",6.60308474564886e-11,"0","-2.84428948406853"
"65","eGARCH","norm","1,1","0,4",9.8442365370488e-12,"0","-2.84079966569042"
"66","eGARCH","norm","1,1","0,5",2.08089101505493e-12,"0","-2.84126822491531"
"67","eGARCH","norm","1,1","1,0",0.0263210921016973,"1.11022302462516e-16","-2.8430225269239"
"68","eGARCH","norm","1,1","1,1",6.38457064994213e-11,"0","-2.84789745901855"
"69","eGARCH","norm","1,1","1,2",2.17010853731381e-11,"0","-2.84469006703326"
"70","eGARCH","norm","1,1","1,3",1.05515596260375e-12,"0","-2.84150771026027"
"71","eGARCH","norm","1,1","1,4",1.87383442096234e-12,"0","-2.8392257101765"
"72","eGARCH","norm","1,1","1,5",2.26507701484024e-12,"0","-2.83804656091539"
"73","eGARCH","norm","1,1","2,0",0.0573512389480622,"1.11022302462516e-16","-2.84269112656913"
"74","eGARCH","norm","1,1","2,1",4.76330086485177e-11,"0","-2.84468651474969"
"75","eGARCH","norm","1,1","2,2",9.80326930744013e-14,"0","-2.84355530830774"
"76","eGARCH","norm","1,1","2,3",1.21014309684142e-14,"0","-2.84079289718712"
"77","eGARCH","norm","1,1","2,4",2.42462795052578e-06,"0","-2.83848982642117"
"78","eGARCH","norm","1,1","2,5",0,"0","-2.83544497387178"
"79","eGARCH","norm","1,1","3,0",4.90128240701049e-05,"0","-2.84230852140983"
"80","eGARCH","norm","1,1","3,1",8.31449057338007e-05,"0","-2.83985726681342"
"81","eGARCH","norm","1,1","3,2",8.43769498715119e-15,"0","-2.84085064451059"
"82","eGARCH","norm","1,1","3,3",3.21964677141295e-15,"0","-2.8378196169539"
"83","eGARCH","norm","1,1","3,4",1.29896093881143e-14,"0","-2.83977830783745"
"84","eGARCH","norm","1,1","4,0",1.72416896596639e-05,"0","-2.83873021559319"
"85","eGARCH","norm","1,1","4,1",1.71414817085047e-06,"0","-2.83686508993511"
"86","eGARCH","norm","1,1","4,2",1.16573417585641e-14,"0","-2.83768691860968"
"87","eGARCH","norm","1,1","4,3",1.10689235555128e-13,"0","-2.83980731220852"
"88","eGARCH","norm","1,1","5,0",6.16391615526624e-09,"0","-2.83944961862713"
"89","eGARCH","norm","1,1","5,1",6.17284001691587e-14,"0","-2.83818588296317"
"90","eGARCH","norm","1,1","5,2",2.33146835171283e-15,"0","-2.83496700255023"
"91","eGARCH","std","1,1","0,0",0.00046192983080906,"4.44089209850063e-16","-3.08145269312297"
"92","eGARCH","std","1,1","0,1",0.000171755097813309,"0","-3.10956563792814"
"93","eGARCH","std","1,1","0,2",6.17545188760227e-05,"0","-3.11081417352109"
"94","eGARCH","std","1,1","0,3",4.07423446660005e-05,"0","-3.10781387418872"
"95","eGARCH","std","1,1","0,4",1.41123778587549e-05,"0","-3.10437217614872"
"96","eGARCH","std","1,1","0,5",4.98466537612874e-06,"0","-3.10175677947805"
"97","eGARCH","std","1,1","1,0",0.00243227778365185,"1.11022302462516e-16","-3.10392540629354"
