"","type","distribution","g1,g2","p,q","pvalue","pvalue_sqv","BIC"
"1","sGARCH","norm","1,1","0,0",2.45139020194074e-09,"0","-3.93056145447523"
"2","sGARCH","norm","1,1","0,1",2.16472395564438e-11,"0","-3.9273430767947"
"3","sGARCH","norm","1,1","0,2",2.9190316830352e-11,"0","-3.92441842663833"
"4","sGARCH","norm","1,1","0,3",2.54074539185467e-12,"0","-3.92107441619746"
"5","sGARCH","norm","1,1","0,4",1.57651669496772e-13,"0","-3.91835754867665"
"6","sGARCH","norm","1,1","0,5",1.55431223447522e-14,"0","-3.91502742991031"
"7","sGARCH","norm","1,1","1,0",1.78348447121834e-11,"0","-3.92734936686943"
"8","sGARCH","norm","1,1","1,1",2.79631873212338e-12,"0","-3.9242688555403"
"9","sGARCH","norm","1,1","1,2",1.23412391417332e-12,"0","-3.92139211100888"
"10","sGARCH","norm","1,1","1,3",1.70774505647842e-12,"0","-3.91765325876951"
"11","sGARCH","norm","1,1","1,4",2.09832151654155e-14,"0","-3.91506365167449"
"12","sGARCH","norm","1,1","1,5",1.0325074129014e-14,"0","-3.91291870452675"
"13","sGARCH","norm","1,1","2,0",3.84517973017751e-11,"0","-3.92443684770041"
"14","sGARCH","norm","1,1","2,1",1.70596869963902e-12,"0","-3.92137355751712"
"15","sGARCH","norm","1,1","2,2",2.57349697108111e-13,"0","-3.9250542150994"
"16","sGARCH","norm","1,1","2,3",7.26085858104852e-14,"0","-3.9189097773871"
"17","sGARCH","norm","1,1","2,4",1.37667655053519e-14,"0","-3.91842696800919"
"18","sGARCH","norm","1,1","2,5",5.21804821573824e-15,"0","-3.91124968235143"
"19","sGARCH","norm","1,1","3,0",3.4351410604927e-12,"0","-3.92109863648229"
"20","sGARCH","norm","1,1","3,1",2.21489493412719e-13,"0","-3.91795739011864"
"21","sGARCH","norm","1,1","3,2",1.31372690503895e-12,"0","-3.91882421567653"
"22","sGARCH","norm","1,1","3,3",1.22124532708767e-15,"0","-3.91344292009594"
"23","sGARCH","norm","1,1","3,4",0,"0","-3.91390743053611"
"24","sGARCH","norm","1,1","4,0",3.20743431814208e-13,"0","-3.91823675203456"
"25","sGARCH","norm","1,1","4,1",4.27435864480685e-14,"0","-3.91493403528615"
"26","sGARCH","norm","1,1","4,2",9.34474719826994e-13,"0","-3.9156734464457"
"27","sGARCH","norm","1,1","4,3",2.65343302885412e-14,"0","-3.91265687127134"
"28","sGARCH","norm","1,1","5,0",2.8199664825479e-14,"0","-3.91490006675267"
"29","sGARCH","norm","1,1","5,1",2.4757973449141e-14,"0","-3.91299982625884"
"30","sGARCH","norm","1,1","5,2",4.55191440096314e-15,"0","-3.9112919945083"
"31","sGARCH","std","1,1","0,0",2.45139020194074e-09,"0","-4.12605526082707"
"32","sGARCH","std","1,1","0,1",2.22044604925031e-16,"0","-4.12490035418006"
"33","sGARCH","std","1,1","0,2",1.11022302462516e-16,"0","-4.12174790793747"
"34","sGARCH","std","1,1","0,3",0,"0","-4.11843649946096"
"35","sGARCH","std","1,1","0,4",0,"0","-4.1162424034876"
"36","sGARCH","std","1,1","0,5",0,"0","-4.1129915636436"
"37","sGARCH","std","1,1","1,0",1.11022302462516e-16,"0","-4.1249562148214"
"38","sGARCH","std","1,1","1,1",5.55111512312578e-16,"0","-4.12180940348672"
"39","sGARCH","std","1,1","1,2",0,"0","-4.11855495358156"
"40","sGARCH","std","1,1","1,3",0,"0","-4.11524583805031"
"41","sGARCH","std","1,1","1,4",0,"0","-4.11298067392816"
"42","sGARCH","std","1,1","1,5",0,"0","-4.11014575345705"
"43","sGARCH","std","1,1","2,0",1.11022302462516e-16,"0","-4.12175762913247"
"44","sGARCH","std","1,1","2,1",0,"0","-4.11855888195833"
"45","sGARCH","std","1,1","2,2",0,"0","-4.11522835852603"
"46","sGARCH","std","1,1","2,3",0,"0","-4.11545923655937"
"47","sGARCH","std","1,1","2,4",0,"0","-4.10993758003228"
"48","sGARCH","std","1,1","2,5",0,"0","-4.10692747955889"
"49","sGARCH","std","1,1","3,0",0,"0","-4.11842679946266"
"50","sGARCH","std","1,1","3,1",0,"0","-4.11523097951618"
"51","sGARCH","std","1,1","3,2",0,"0","-4.11385726206887"
"52","sGARCH","std","1,1","3,3",0,"0","-4.11017938646629"
"53","sGARCH","std","1,1","3,4",0,"0","-4.10956816356864"
"54","sGARCH","std","1,1","4,0",0,"0","-4.11611273132321"
"55","sGARCH","std","1,1","4,1",0,"0","-4.11290116517137"
"56","sGARCH","std","1,1","4,2",0,"0","-4.11175827520556"
"57","sGARCH","std","1,1","4,3",0,"0","-4.10870712233741"
