"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","yearly","sGARCH","norm","2,2","1,0","-2.86383861291082",0.0600588699480952
"2","yearly","sGARCH","norm","2,3","0,1","-2.86374994139159",0.0538345622628466
"3","yearly","sGARCH","norm","2,3","1,0","-2.8620349275033",0.0713625857484026
"4","yearly","sGARCH","norm","2,3","2,0","-2.86359231412825",0.0615106389411443
"5","yearly","sGARCH","norm","3,2","1,0","-2.86070934819183",0.060872152665847
"6","yearly","sGARCH","norm","3,3","0,1","-2.86041722287628",0.0538027385016279
"7","yearly","sGARCH","norm","3,3","1,0","-2.85870220979861",0.0713519203672514
"8","yearly","sGARCH","norm","3,3","2,0","-2.86025959169851",0.0615549282018881
"9","yearly","eGARCH","std","1,2","0,2","-1.01726022621354",0.225646559641866
"10","yearly","eGARCH","norm","1,2","2,0","-2.85983714587506",0.0518402848261053
"11","yearly","eGARCH","std","1,3","0,1","-0.406737813095611",0.19740458722344
"12","yearly","eGARCH","std","1,3","0,4","0.163375684534014",0.129394968539546
"13","yearly","eGARCH","std","1,3","1,0","-0.637843268543789",0.110011625476557
"14","yearly","eGARCH","std","1,3","1,1","0.0610595053775625",0.305102085726393
"15","yearly","eGARCH","std","1,3","1,4","-0.906004585769886",0.140322873559803
"16","yearly","eGARCH","std","1,3","2,0","0.205166034587236",0.261630955558557
"17","yearly","eGARCH","std","1,3","2,1","0.266688673586842",0.318498730795964
"18","yearly","eGARCH","std","1,3","3,1","0.309553422246544",0.436798021082197
"19","yearly","eGARCH","std","1,3","3,2","0.239570018847672",0.119214381546133
"20","yearly","eGARCH","std","1,3","3,4","0.227480119495421",0.138587673159913
"21","yearly","eGARCH","std","1,3","4,1","0.166771482882439",0.789790506703477
"22","yearly","eGARCH","std","2,2","2,2","-0.26323707672444",0.378205918691303
"23","yearly","eGARCH","std","2,2","2,3","-0.112483273046443",0.748112337866706
"24","yearly","eGARCH","norm","2,3","0,1","-2.86836477109132",0.129857094748295
"25","yearly","eGARCH","std","2,3","0,2","-0.358869863733412",0.403644405976351
"26","yearly","eGARCH","norm","2,3","1,0","-2.86717191200633",0.0790093106762626
"27","yearly","eGARCH","std","2,3","1,2","-0.440141503999366",0.288387290728986
"28","yearly","eGARCH","std","2,3","1,4","-0.730549484535133",0.115647160701154
"29","yearly","eGARCH","std","2,3","2,2","-0.451375164865558",0.378209270810285
"30","yearly","eGARCH","std","2,3","2,3","-0.461529501165634",0.74773641658479
"31","yearly","eGARCH","std","2,3","3,1","-0.498591371004095",0.436798096318952
"32","yearly","eGARCH","std","2,3","4,0","-0.584469372746015",0.676181330130339
"33","yearly","eGARCH","std","2,3","4,1","-0.483405748455599",0.738583364699509
"34","yearly","eGARCH","std","3,1","3,0","-1.61421169541157",0.207920946270242
"35","yearly","eGARCH","norm","3,3","0,1","-2.8706574980096",0.090289662574968
"36","yearly","eGARCH","norm","3,3","1,0","-2.86944280042949",0.0643809762261299
"37","yearly","eGARCH","norm","3,3","2,0","-2.86975398662993",0.0619847218433746
"38","yearly","gjrGARCH","norm","1,3","2,0","-2.86748636001859",0.0512352405972547
"39","yearly","gjrGARCH","norm","2,3","0,1","-2.86801471336783",0.125242249520544
"40","yearly","gjrGARCH","norm","2,3","1,0","-2.86710554252501",0.0780900211161253
"41","yearly","gjrGARCH","norm","2,3","2,0","-2.86693884206441",0.202078339332556
"42","yearly","gjrGARCH","norm","2,3","3,0","-2.8639935140239",0.0694572485937477
"43","yearly","gjrGARCH","norm","3,1","1,0","-2.86676101266582",0.0565740209913629
"44","yearly","gjrGARCH","norm","3,2","1,0","-2.86342829380563",0.0565784627790974
"45","yearly","gjrGARCH","norm","3,3","1,0","-2.86009557250483",0.0565971789958122
"46","yearly_3","sGARCH","norm","2,1","1,0","-2.84220974631266",0.0557939390228099
"47","yearly_3","sGARCH","norm","2,2","0,1","-2.84656955328092",0.123705261873722
"48","yearly_3","sGARCH","norm","2,2","1,0","-2.84514696760737",0.0957023137459214
"49","yearly_3","sGARCH","norm","2,2","2,0","-2.84720084853454",0.0577477428464498
"50","yearly_3","sGARCH","norm","2,3","0,1","-2.84442664195152",0.108410618610872
"51","yearly_3","sGARCH","norm","2,3","1,0","-2.84296793841451",0.0921638249821983
"52","yearly_3","sGARCH","norm","2,3","2,0","-2.84485023467784",0.0613469091393601
"53","yearly_3","sGARCH","norm","3,1","1,0","-2.83889831917931",0.0561420237916399
"54","yearly_3","sGARCH","norm","3,2","0,1","-2.8434885452567",0.124510741413809
"55","yearly_3","sGARCH","norm","3,2","1,0","-2.84207302808867",0.0958483212054104
"56","yearly_3","sGARCH","norm","3,2","2,0","-2.84409336401646",0.0592765101678063
"57","yearly_3","sGARCH","norm","3,3","0,1","-2.84109392949676",0.108411170365027
"58","yearly_3","sGARCH","norm","3,3","1,0","-2.83963522124244",0.0921571292615364
"59","yearly_3","sGARCH","norm","3,3","2,0","-2.84151756828019",0.0613984462042076
"60","yearly_3","eGARCH","norm","1,1","2,0","-2.84458134676087",0.057507529781302
"61","yearly_3","eGARCH","norm","1,2","2,0","-2.84125556386431",0.059195427098111
"62","yearly_3","eGARCH","norm","2,1","2,0","-2.84690223440496",0.0538951742275847
"63","yearly_3","eGARCH","norm","2,2","2,0","-2.84530843519037",0.0505481868676768
"64","yearly_3","eGARCH","norm","2,3","0,1","-2.85902745325387",0.157803727858343
"65","yearly_3","eGARCH","norm","2,3","1,0","-2.85786136965262",0.0893892168166546
"66","yearly_3","eGARCH","norm","2,3","2,0","-2.85948121140681",0.0638018623103491
"67","yearly_3","eGARCH","norm","3,3","0,1","-2.8601238641688",0.0953044268697214
"68","yearly_3","eGARCH","norm","3,3","1,0","-2.85886388024199",0.0636161480877446
"69","yearly_3","eGARCH","norm","3,3","2,0","-2.85928542232546",0.080386996284749
"70","yearly_3","gjrGARCH","norm","1,1","0,1","-2.84943104986563",0.0698624798456015
"71","yearly_3","gjrGARCH","norm","1,1","1,0","-2.84801971658702",0.0654455710697717
"72","yearly_3","gjrGARCH","norm","1,1","2,0","-2.84827051483752",0.133907658174168
"73","yearly_3","gjrGARCH","norm","1,2","0,1","-2.84627058728034",0.070444504844366
"74","yearly_3","gjrGARCH","norm","1,2","1,0","-2.84486430972717",0.0656554174286013
"75","yearly_3","gjrGARCH","norm","1,2","2,0","-2.84493777258443",0.133911891795466
"76","yearly_3","gjrGARCH","norm","1,3","0,1","-2.8449865944296",0.0541209788297398
"77","yearly_3","gjrGARCH","norm","1,3","1,0","-2.84349990801295",0.0585543026746533
"78","yearly_3","gjrGARCH","norm","1,3","2,0","-2.8435609032264",0.109146231897713
"79","yearly_3","gjrGARCH","norm","3,1","0,1","-2.85264667372302",0.057320039793947
"80","yearly_3","gjrGARCH","norm","3,1","1,0","-2.85086974321004",0.0696529076972739
"81","yearly_3","gjrGARCH","norm","3,2","0,1","-2.8493524978239",0.0664260964978525
"82","yearly_3","gjrGARCH","norm","3,2","1,0","-2.84768139715871",0.0771651641032738
"83","yearly_3","gjrGARCH","norm","3,3","0,1","-2.84601981766565",0.0665137248400108
"84","yearly_3","gjrGARCH","norm","3,3","1,0","-2.84434867855934",0.0771711758162299
"85","yearly_5","sGARCH","norm","2,1","1,0","-2.84520408345979",0.0584505640724831
"86","yearly_5","sGARCH","norm","2,2","0,1","-2.85064667046116",0.122256876578108
"87","yearly_5","sGARCH","norm","2,2","1,0","-2.84914413179811",0.0968526595438648
"88","yearly_5","sGARCH","norm","2,3","0,1","-2.84832058886793",0.121711971369792
"89","yearly_5","sGARCH","norm","2,3","1,0","-2.84684475204522",0.0963583043635451
"90","yearly_5","sGARCH","norm","3,1","1,0","-2.84193648466645",0.0588413020005123
"91","yearly_5","sGARCH","norm","3,2","0,1","-2.84772788700317",0.12269537935428
"92","yearly_5","sGARCH","norm","3,2","1,0","-2.84623271067266",0.0967820719253006
"93","yearly_5","sGARCH","norm","3,3","0,1","-2.84498782595052",0.121681149690612
"94","yearly_5","sGARCH","norm","3,3","1,0","-2.84351205756723",0.0963567999571423
"95","yearly_5","eGARCH","norm","1,1","2,0","-2.8429502764973",0.050635471435866
"96","yearly_5","eGARCH","norm","1,2","2,0","-2.83972678570589",0.0569648521116037
"97","yearly_5","eGARCH","norm","2,1","2,0","-2.84569645982185",0.0519617202473418
"98","yearly_5","eGARCH","norm","2,2","0,1","-2.84186051240134",0.0595207000951183
"99","yearly_5","eGARCH","norm","2,2","1,0","-2.84068849775713",0.0532602815357868
"100","yearly_5","eGARCH","norm","2,3","0,1","-2.85638208703228",0.150232522426784
"101","yearly_5","eGARCH","norm","2,3","1,0","-2.85522293701204",0.0903052867845932
"102","yearly_5","eGARCH","norm","2,3","2,0","-2.85665980415303",0.0674457700207842
"103","yearly_5","eGARCH","norm","3,3","0,1","-2.85747327476051",0.0836345813106929
"104","yearly_5","eGARCH","norm","3,3","1,0","-2.85614641973187",0.0649041424238549
"105","yearly_5","eGARCH","norm","3,3","2,0","-2.8569363018099",0.0754857331592297
"106","yearly_5","gjrGARCH","norm","1,1","0,1","-2.85057226772239",0.0571248947952959
"107","yearly_5","gjrGARCH","norm","1,1","1,0","-2.84893838360777",0.0652162209826629
"108","yearly_5","gjrGARCH","norm","1,1","2,0","-2.85019656070779",0.0746801593474842
"109","yearly_5","gjrGARCH","norm","1,2","0,1","-2.84749525956409",0.0572854641269332
"110","yearly_5","gjrGARCH","norm","1,2","1,0","-2.84586636804264",0.0651028412316823
"111","yearly_5","gjrGARCH","norm","1,2","2,0","-2.84686379113068",0.0746703667099076
"112","yearly_5","gjrGARCH","norm","1,3","1,0","-2.84403320687282",0.0564083111995393
"113","yearly_5","gjrGARCH","norm","1,3","2,0","-2.84495401727361",0.0585412986327778
"114","yearly_5","gjrGARCH","norm","3,1","1,0","-2.85104025150644",0.070437382715126
"115","yearly_5","gjrGARCH","norm","3,2","0,1","-2.84976513781435",0.0630419055279335
"116","yearly_5","gjrGARCH","norm","3,2","1,0","-2.84799395275221",0.0803924976434188
"117","yearly_5","gjrGARCH","norm","3,3","0,1","-2.84643246717396",0.0630264031311549
"118","yearly_5","gjrGARCH","norm","3,3","1,0","-2.8446611225326",0.0803324468460889
