"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","yearly","sGARCH","norm","1,1","0,0","-3.93001466290864",2.45139020194074e-09
"2","yearly","sGARCH","std","1,1","0,0","-4.12331428553624",2.45139020194074e-09
"3","yearly","sGARCH","norm","1,1","0,1","-3.92683259526437",1.18698384454774e-11
"4","yearly","sGARCH","std","1,1","0,1","-4.12226479765685",1.11022302462516e-16
"5","yearly","sGARCH","norm","1,1","0,2","-3.92384621910356",1.60751412181526e-11
"6","yearly","sGARCH","std","1,1","0,2","-4.1191277021305",1.11022302462516e-16
"7","yearly","sGARCH","norm","1,1","1,0","-3.92684053490239",9.58289003705204e-12
"8","yearly","sGARCH","std","1,1","1,0","-4.12232466002009",1.11022302462516e-16
"9","yearly","sGARCH","norm","1,1","1,1","-3.92376255377256",2.05158112720483e-12
"10","yearly","sGARCH","std","1,1","1,1","-4.11917655460477",3.33066907387547e-16
"11","yearly","sGARCH","norm","1,1","1,2","-3.92078700575372",8.09463607254202e-13
"12","yearly","sGARCH","norm","1,1","2,0","-3.92386127341584",2.10274020417955e-11
"13","yearly","sGARCH","std","1,1","2,0","-4.11913733188798",1.11022302462516e-16
"14","yearly","sGARCH","norm","1,1","2,1","-3.92076836361452",1.12010400954432e-12
"15","yearly","sGARCH","norm","1,1","2,2","-3.92140241961457",9.51483336564252e-12
"16","yearly","sGARCH","norm","1,2","0,0","-3.93186307326334",2.45139020194074e-09
"17","yearly","sGARCH","std","1,2","0,0","-4.12199269215163",2.45139020194074e-09
"18","yearly","sGARCH","norm","1,2","0,1","-3.92879410887779",2.29860575018392e-12
"19","yearly","sGARCH","std","1,2","0,1","-4.12097435522585",1.11022302462516e-16
"20","yearly","sGARCH","norm","1,2","0,2","-3.92601698521764",3.10240722001254e-12
"21","yearly","sGARCH","norm","1,2","1,0","-3.92881070504138",1.61104463103356e-12
"22","yearly","sGARCH","std","1,2","1,0","-4.12103876713326",1.11022302462516e-16
"23","yearly","sGARCH","norm","1,2","1,1","-3.92576434142848",5.26911847487099e-13
"24","yearly","sGARCH","std","1,2","1,1","-4.11788626260225",2.22044604925031e-16
"25","yearly","sGARCH","norm","1,2","1,2","-3.92294129233344",1.86850535044414e-13
"26","yearly","sGARCH","norm","1,2","2,0","-3.92601884280118",4.32454072551991e-12
"27","yearly","sGARCH","std","1,2","2,0","-4.11784649541001",1.11022302462516e-16
"28","yearly","sGARCH","norm","1,2","2,1","-3.92291642365737",2.67119659724813e-13
"29","yearly","sGARCH","norm","1,2","2,2","-3.92085850390159",1.24344978758018e-14
"30","yearly","sGARCH","norm","1,3","0,0","-3.9287952471528",2.45139020194074e-09
"31","yearly","sGARCH","std","1,3","0,0","-4.121858002311",2.45139020194074e-09
"32","yearly","sGARCH","norm","1,3","0,1","-3.92581913845842",7.05990821359137e-13
"33","yearly","sGARCH","norm","1,3","0,2","-3.92308272749726",8.28448420975292e-13
"34","yearly","sGARCH","norm","1,3","1,0","-3.92584353819812",4.41868763800812e-13
"35","yearly","sGARCH","norm","1,3","1,1","-3.92279874084203",1.80966353013901e-13
"36","yearly","sGARCH","norm","1,3","1,2","-3.92003920250277",4.48530101948563e-14
"37","yearly","sGARCH","norm","1,3","2,0","-3.92307313313106",1.2685408279367e-12
"38","yearly","sGARCH","norm","1,3","2,1","-3.92000365337755",7.18314296932476e-14
"39","yearly","sGARCH","norm","1,3","2,2","-3.91785313203028",1.23234755733392e-14
"40","yearly","sGARCH","std","1,3","2,2","-4.11093393238095",1.69864122767649e-14
"41","yearly","sGARCH","norm","2,1","0,0","-3.92654208885129",2.45139020194074e-09
"42","yearly","sGARCH","std","2,1","0,0","-4.11998898383039",2.45139020194074e-09
"43","yearly","sGARCH","norm","2,1","0,1","-3.92335959211966",1.19562137967932e-11
"44","yearly","sGARCH","std","2,1","0,1","-4.11893836916844",1.11022302462516e-16
"45","yearly","sGARCH","norm","2,1","0,2","-3.92051350079971",1.6069479080727e-11
"46","yearly","sGARCH","std","2,1","0,2","-4.11579497433494",1.11022302462516e-16
