"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","daily","sGARCH","norm","1,1","0,0","-3.92722883844486",2.50180987038107e-09
"2","daily","sGARCH","norm","1,1","0,1","-3.92401174798025",2.27634577854019e-11
"3","daily","sGARCH","norm","1,1","0,2","-3.92108676358986",3.04184455401924e-11
"4","daily","sGARCH","norm","1,1","0,3","-3.91774311177661",2.66775490587179e-12
"5","daily","sGARCH","norm","1,1","0,4","-3.91502559961046",1.51545442861334e-13
"6","daily","sGARCH","norm","1,1","1,0","-3.92401814888759",1.87688753428006e-11
"7","daily","sGARCH","norm","1,1","1,1","-3.92093787748243",3.01580982409178e-12
"8","daily","sGARCH","norm","1,1","1,2","-3.91805974752432",1.26343380202343e-12
"9","daily","sGARCH","norm","1,1","1,3","-3.91493314381233",4.79505324335605e-13
"10","daily","sGARCH","norm","1,1","1,4","-3.91173188831266",2.00950367457153e-14
"11","daily","sGARCH","norm","1,1","2,0","-3.92110498092847",3.99057453748242e-11
"12","daily","sGARCH","norm","1,1","2,1","-3.91804116813992",1.74993353141417e-12
"13","daily","sGARCH","norm","1,1","2,2","-3.91894793778759",7.56950058189432e-12
"14","daily","sGARCH","norm","1,1","2,3","-3.91558628310562",6.21724893790088e-14
"15","daily","sGARCH","norm","1,1","2,4","-3.91246204909889",2.54241072639161e-14
"16","daily","sGARCH","norm","1,1","3,0","-3.91776706345025",3.58091334362598e-12
"17","daily","sGARCH","norm","1,1","3,1","-3.91462502422615",2.28039809258007e-13
"18","daily","sGARCH","norm","1,1","3,2","-3.91179458441355",1.84297022087776e-14
"19","daily","sGARCH","norm","1,1","3,3","-3.91265031968494",2.90212298637016e-13
"20","daily","sGARCH","norm","1,1","3,4","-3.9098828977023",0
"21","daily","sGARCH","norm","1,1","4,0","-3.91490450136972",3.11195513802431e-13
"22","daily","sGARCH","norm","1,1","4,1","-3.91160196330191",4.11892742135933e-14
"23","daily","sGARCH","norm","1,1","4,3","-3.90902725665287",3.10862446895044e-14
"24","daily","sGARCH","norm","1,2","0,0","-3.92988729095747",3.0208424650624e-09
"25","daily","sGARCH","norm","1,2","0,1","-3.9267876538556",4.95792296106856e-12
"26","daily","sGARCH","norm","1,2","0,2","-3.92404824016963",6.51301235166102e-12
"27","daily","sGARCH","norm","1,2","0,3","-3.92075565420796",4.90829599186782e-13
"28","daily","sGARCH","norm","1,2","0,4","-3.9177997982086",4.31876756579186e-14
"29","daily","sGARCH","norm","1,2","1,0","-3.92680292209222",3.53805873487545e-12
"30","daily","sGARCH","norm","1,2","1,1","-3.92325277787905",1.16009379880211e-09
"31","daily","sGARCH","norm","1,2","1,2","-3.9209764990853",3.48721052034762e-13
"32","daily","sGARCH","norm","1,2","1,3","-3.91759873062343",3.61932706027801e-14
"33","daily","sGARCH","norm","1,2","1,4","-3.91459666866612",1.29896093881143e-14
"34","daily","sGARCH","norm","1,2","2,0","-3.92405272629035",8.97504293106977e-12
"35","daily","sGARCH","norm","1,2","2,1","-3.92095403553142",4.95825602797595e-13
"36","daily","sGARCH","norm","1,2","2,2","-3.92310314883255",1.04593000926911e-11
"37","daily","sGARCH","norm","1,2","2,3","-3.91600672736523",5.40678612992451e-14
"38","daily","sGARCH","norm","1,2","2,4","-3.91381361994167",9.54791801177635e-15
"39","daily","sGARCH","norm","1,2","3,0","-3.92076434116591",6.76014799694258e-13
"40","daily","sGARCH","norm","1,2","3,1","-3.91756616470484",5.91748872125208e-14
"41","daily","sGARCH","norm","1,2","3,2","-3.91601904167834",4.17443857259059e-14
"42","daily","sGARCH","norm","1,2","3,3","-3.91929409465414",4.44089209850063e-16
"43","daily","sGARCH","norm","1,2","3,4","-3.91670372026856",0
"44","daily","sGARCH","norm","1,2","4,0","-3.9177022878371",7.52731210695856e-14
"45","daily","sGARCH","norm","1,2","4,1","-3.91437953171878",1.15463194561016e-14
"46","daily","sGARCH","norm","1,2","4,2","-3.91412195271918",1.22124532708767e-15
"47","daily","sGARCH","norm","1,2","4,3","-3.91416851326679",0
"48","daily","sGARCH","norm","1,3","0,0","-3.9268968029772",3.45923933942061e-09
"49","daily","sGARCH","norm","1,3","0,1","-3.92391057011031",1.45350398383925e-12
"50","daily","sGARCH","norm","1,3","0,2","-3.92121341794451",1.63080660087189e-12
"51","daily","sGARCH","norm","1,3","0,3","-3.91808323615428",6.80566714095221e-14
"52","daily","sGARCH","norm","1,3","0,4","-3.91504708290116",7.54951656745106e-15
"53","daily","sGARCH","norm","1,3","1,0","-3.92393546143434",9.10271857890166e-13
"54","daily","sGARCH","norm","1,3","1,1","-3.92090468435562",3.3850700020821e-13
"55","daily","sGARCH","norm","1,3","1,2","-3.91817944973641",7.94919685631612e-14
"56","daily","sGARCH","norm","1,3","1,3","-3.9149113066753",6.10622663543836e-15
"57","daily","sGARCH","norm","1,3","1,4","-3.91172240669399",1.22124532708767e-15
"58","daily","sGARCH","norm","1,3","2,0","-3.9212036972086",2.49777976080168e-12
"59","daily","sGARCH","norm","1,3","2,1","-3.91814421881125",1.26343380202343e-13
"60","daily","sGARCH","norm","1,3","2,2","-3.92360531988062",2.3347990207867e-13
"61","daily","sGARCH","norm","1,3","2,3","-3.91668669347613",2.22044604925031e-15
"62","daily","sGARCH","norm","1,3","2,4","-3.9109507280524",2.1094237467878e-15
"63","daily","sGARCH","norm","1,3","3,0","-3.91807807730323",1.0325074129014e-13
"64","daily","sGARCH","norm","1,3","3,1","-3.91537740089344",1.82076576038526e-14
"65","daily","sGARCH","norm","1,3","3,2","-3.91806649937106",0
"66","daily","sGARCH","norm","1,3","3,3","-3.91116160361041",6.66133814775094e-16
"67","daily","sGARCH","norm","1,3","3,4","-3.91399981163156",0
"68","daily","sGARCH","norm","1,3","4,0","-3.91494484822936",1.29896093881143e-14
"69","daily","sGARCH","norm","1,3","4,1","-3.91161629265266",2.1094237467878e-15
"70","daily","sGARCH","norm","1,3","4,2","-3.91661934243306",0
"71","daily","sGARCH","norm","1,3","4,3","-3.91413656998534",0
"72","daily","sGARCH","norm","2,1","0,0","-3.92376562641037",2.50122189626723e-09
"73","daily","sGARCH","norm","2,1","0,1","-3.92054825378362",2.28862484519254e-11
"74","daily","sGARCH","norm","2,1","0,2","-3.9177540507778",3.04158920272357e-11
"75","daily","sGARCH","norm","2,1","0,3","-3.91441038931044",2.65987232239695e-12
"76","daily","sGARCH","norm","2,1","0,4","-3.9116928772555",1.51434420558871e-13
"77","daily","sGARCH","norm","2,1","1,0","-3.92055464177833",1.88694615488316e-11
"78","daily","sGARCH","norm","2,1","1,1","-3.91747536225263",3.01003666436372e-12
"79","daily","sGARCH","norm","2,1","1,2","-3.91472702728278",1.26398891353574e-12
"80","daily","sGARCH","norm","2,1","1,3","-3.91132477732031",1.29896093881143e-13
"81","daily","sGARCH","norm","2,1","1,4","-3.90839916525945",2.00950367457153e-14
"82","daily","sGARCH","norm","2,1","2,0","-3.9177722619391",3.98976407467444e-11
"83","daily","sGARCH","norm","2,1","2,1","-3.91470845011951",1.75115477674126e-12
