"","period","type","distribution","g1,g2","p,q","BIC","pvalue"
"1","daily","sGARCH","norm","1,1","0,0","-3.92401651949388",2.49910714344992e-09
"2","daily","sGARCH","norm","1,1","0,1","-3.92081001707606",1.89844806541828e-11
"3","daily","sGARCH","norm","1,1","0,2","-3.91788046789404",2.56656917940745e-11
"4","daily","sGARCH","norm","1,1","0,3","-3.91453108383879",2.29960495090609e-12
"5","daily","sGARCH","norm","1,1","0,4","-3.91180248684744",1.34336985979644e-13
"6","daily","sGARCH","norm","1,1","1,0","-3.92081700349068",1.55990775851933e-11
"7","daily","sGARCH","norm","1,1","1,1","-3.91774153273956",2.66808797277918e-12
"8","daily","sGARCH","norm","1,1","1,2","-3.9148494782862",1.06925579501649e-12
"9","daily","sGARCH","norm","1,1","1,3","-3.91144230046585",1.15574216863479e-13
"10","daily","sGARCH","norm","1,1","1,4","-3.90850982688973",1.765254609154e-14
"11","daily","sGARCH","norm","1,1","2,0","-3.91789804742013",3.37503358593949e-11
"12","daily","sGARCH","norm","1,1","2,1","-3.91483131789189",1.47803991268347e-12
"13","daily","sGARCH","norm","1,1","2,2","-3.91321023493562",4.66293670342566e-15
"14","daily","sGARCH","norm","1,1","2,3","-3.9124950573121",5.20694598549198e-14
"15","daily","sGARCH","norm","1,1","2,4","-3.90936142265142",2.09832151654155e-14
"16","daily","sGARCH","norm","1,1","3,0","-3.91455444940868",3.10107495238299e-12
"17","daily","sGARCH","norm","1,1","3,1","-3.91141100784592",1.95288230031565e-13
"18","daily","sGARCH","norm","1,1","3,2","-3.91240227760354",1.10134124042816e-12
"19","daily","sGARCH","norm","1,1","3,3","-3.90932364966857",5.86197757002083e-14
"20","daily","sGARCH","norm","1,1","3,4","-3.90683939589375",0
"21","daily","sGARCH","norm","1,1","4,0","-3.91168462647398",2.72337707940551e-13
"22","daily","sGARCH","norm","1,1","4,1","-3.90838328107795",3.5527136788005e-14
"23","daily","sGARCH","norm","1,1","4,2","-3.9116220010099",2.22044604925031e-16
"24","daily","sGARCH","norm","1,1","4,3","-3.90621174785623",2.37587727269783e-14
"25","daily","sGARCH","norm","1,2","0,0","-3.92659339624987",3.01228142429721e-09
"26","daily","sGARCH","norm","1,2","0,1","-3.92350304929153",4.37849756451669e-12
"27","daily","sGARCH","norm","1,2","0,2","-3.9207600011738",5.81179548930777e-12
"28","daily","sGARCH","norm","1,2","0,3","-3.91746303465221",4.430900091279e-13
"29","daily","sGARCH","norm","1,2","0,4","-3.91450160046728",3.97459842815806e-14
"30","daily","sGARCH","norm","1,2","1,0","-3.92351888304287",3.09308134660569e-12
"31","daily","sGARCH","norm","1,2","1,1","-3.92048716958973",8.7119200742336e-13
"32","daily","sGARCH","norm","1,2","1,2","-3.91768496630646",3.13638004456607e-13
"33","daily","sGARCH","norm","1,2","1,3","-3.91430379327073",3.30846461338297e-14
"34","daily","sGARCH","norm","1,2","1,4","-3.91118447859581",5.88418203051333e-15
"35","daily","sGARCH","norm","1,2","2,0","-3.92076406181544",7.97495403048742e-12
"36","daily","sGARCH","norm","1,2","2,1","-3.91766276278889",4.404254738688e-13
"37","daily","sGARCH","norm","1,2","2,2","-3.91564611756506",1.21014309684142e-14
"38","daily","sGARCH","norm","1,2","2,3","-3.91274234151249",4.72955008490317e-14
"39","daily","sGARCH","norm","1,2","2,4","-3.91050772115528",8.54871728961371e-15
"40","daily","sGARCH","norm","1,2","3,0","-3.91747167053925",6.12621064988161e-13
"41","daily","sGARCH","norm","1,2","3,1","-3.91427181182475",5.36237720893951e-14
"42","daily","sGARCH","norm","1,2","3,2","-3.91147565381575",3.66373598126302e-15
"43","daily","sGARCH","norm","1,2","3,3","-3.90919802762912",0
"44","daily","sGARCH","norm","1,2","3,4","-3.90748813864354",2.22044604925031e-16
"45","daily","sGARCH","norm","1,2","4,0","-3.91440563697666",6.87228052242972e-14
"46","daily","sGARCH","norm","1,2","4,1","-3.91108293401056",1.0547118733939e-14
"47","daily","sGARCH","norm","1,2","4,2","-3.91594327677001",0
"48","daily","sGARCH","norm","1,2","4,3","-3.90745173669522",2.22044604925031e-16
"49","daily","sGARCH","norm","1,3","0,0","-3.92359480747777",3.45669137757909e-09
"50","daily","sGARCH","norm","1,3","0,1","-3.92061884923992",1.27964305818296e-12
"51","daily","sGARCH","norm","1,3","0,2","-3.91791711482684",1.45161660469739e-12
"52","daily","sGARCH","norm","1,3","0,3","-3.91478415485699",6.18394224716212e-14
"53","daily","sGARCH","norm","1,3","0,4","-3.91174202661614",6.99440505513849e-15
"54","daily","sGARCH","norm","1,3","1,0","-3.92064442407168",7.96473997866087e-13
"55","daily","sGARCH","norm","1,3","1,1","-3.9176133663345",3.08642000845794e-13
"56","daily","sGARCH","norm","1,3","1,2","-3.91487910308816",7.20534742981727e-14
"57","daily","sGARCH","norm","1,3","1,3","-3.91160941485972",5.6621374255883e-15
"58","daily","sGARCH","norm","1,3","1,4","-3.90841725419389",1.11022302462516e-15
"59","daily","sGARCH","norm","1,3","2,0","-3.91790694958256",2.22089013846016e-12
"60","daily","sGARCH","norm","1,3","2,1","-3.914844188945",1.13020703906841e-13
"61","daily","sGARCH","norm","1,3","2,2","-3.91428915695713",7.54951656745106e-14
"62","daily","sGARCH","norm","1,3","2,3","-3.90999759403924",1.28785870856518e-14
"63","daily","sGARCH","norm","1,3","2,4","-3.90763963511337",1.99840144432528e-15
"64","daily","sGARCH","norm","1,3","3,0","-3.91477866621519",9.38138455808257e-14
"65","daily","sGARCH","norm","1,3","3,1","-3.91206936829268",1.67643676718399e-14
"66","daily","sGARCH","norm","1,3","3,2","-3.90884742569587",5.55111512312578e-16
"67","daily","sGARCH","norm","1,3","3,3","-3.90632338985374",3.33066907387547e-16
"68","daily","sGARCH","norm","1,3","3,4","-3.90449166736439",1.11022302462516e-16
"69","daily","sGARCH","norm","1,3","4,0","-3.911641454891",1.19904086659517e-14
"70","daily","sGARCH","norm","1,3","4,1","-3.90831288334119",1.88737914186277e-15
"71","daily","sGARCH","norm","1,3","4,2","-3.91336717412413",0
"72","daily","sGARCH","norm","1,3","4,3","-3.90838548157445",0
"73","daily","sGARCH","norm","2,1","0,0","-3.92055016785578",2.49693932197204e-09
"74","daily","sGARCH","norm","2,1","0,1","-3.9173431919489",1.92382776376121e-11
"75","daily","sGARCH","norm","2,1","0,2","-3.91454775444048",2.56621390803957e-11
"76","daily","sGARCH","norm","2,1","0,3","-3.91119836781899",2.29904983939377e-12
"77","daily","sGARCH","norm","2,1","0,4","-3.90846978775071",1.34336985979644e-13
"78","daily","sGARCH","norm","2,1","1,0","-3.91735018243368",1.57232005193464e-11
"79","daily","sGARCH","norm","2,1","1,1","-3.91427563832551",2.66819899508164e-12
"80","daily","sGARCH","norm","2,1","1,2","-3.91151676492368",1.06248343456627e-12
"81","daily","sGARCH","norm","2,1","1,3","-3.90810963477703",1.13131726209303e-13
"82","daily","sGARCH","norm","2,1","1,4","-3.90517712080987",1.765254609154e-14
"83","daily","sGARCH","norm","2,1","2,0","-3.91456532997817",3.36792815858189e-11
"84","daily","sGARCH","norm","2,1","2,1","-3.9114986385455",1.47715173426377e-12
"85","daily","sGARCH","norm","2,1","2,2","-3.90987749976168",4.55191440096314e-15
"86","daily","sGARCH","norm","2,1","2,3","-3.90916234038734",5.25135490647699e-14
"87","daily","sGARCH","norm","2,1","2,4","-3.90602870360817",2.08721928629529e-14
"88","daily","sGARCH","norm","2,1","3,0","-3.91122171946932",3.08886249911211e-12
"89","daily","sGARCH","norm","2,1","3,1","-3.90812053378336",1.9284573937739e-13
"90","daily","sGARCH","norm","2,1","3,2","-3.90889252478655",5.88418203051333e-15
"91","daily","sGARCH","norm","2,1","3,3","-3.90590127579672",7.72981678665019e-12
"92","daily","sGARCH","norm","2,1","3,4","-3.90304417727086",4.10782519111308e-15
"93","daily","sGARCH","norm","2,1","4,0","-3.90835191203186",2.72115663335626e-13
"94","daily","sGARCH","norm","2,1","4,1","-3.90505058044179",3.5527136788005e-14
"95","daily","sGARCH","norm","2,1","4,2","-3.90824387813346",2.22044604925031e-16
"96","daily","sGARCH","norm","2,1","4,3","-3.90287902721203",2.37587727269783e-14
"97","daily","sGARCH","norm","2,2","0,0","-3.9232606628736",3.01204916564046e-09
"98","daily","sGARCH","norm","2,2","0,1","-3.92017032052887",4.37705427458468e-12
"99","daily","sGARCH","norm","2,2","0,2","-3.91742727499142",5.80990811016591e-12
"100","daily","sGARCH","norm","2,2","0,3","-3.91413029939449",4.43867165245138e-13
"101","daily","sGARCH","norm","2,2","0,4","-3.91116886980208",3.97459842815806e-14
"102","daily","sGARCH","norm","2,2","1,0","-3.92018615536804",3.10640402290119e-12
"103","daily","sGARCH","norm","2,2","1,1","-3.91715444247842",8.69637695188885e-13
"104","daily","sGARCH","norm","2,2","1,2","-3.91435224224321",3.13082892944294e-13
"105","daily","sGARCH","norm","2,2","1,3","-3.91097106273067",3.30846461338297e-14
"106","daily","sGARCH","norm","2,2","1,4","-3.90785174974015",5.88418203051333e-15
"107","daily","sGARCH","norm","2,2","2,0","-3.91743132379837",7.96951393766676e-12
"108","daily","sGARCH","norm","2,2","2,1","-3.91433003997389",4.45532499782075e-13
"109","daily","sGARCH","norm","2,2","2,2","-3.91231338322463",1.21014309684142e-14
"110","daily","sGARCH","norm","2,2","2,3","-3.90813330895533",2.66453525910038e-15
"111","daily","sGARCH","norm","2,2","2,4","-3.90717497620831",8.65973959207622e-15
"112","daily","sGARCH","norm","2,2","3,0","-3.91413893735419",6.13620265710324e-13
"113","daily","sGARCH","norm","2,2","3,1","-3.91138888959589",9.51461132103759e-14
"114","daily","sGARCH","norm","2,2","3,2","-3.91055120164787",1.68753899743024e-14
"115","daily","sGARCH","norm","2,2","3,3","-3.91316997078328",0
